Título,Precio,Ubicación,Superficie,Habitaciones,Baños,Enlace
Apartam,395.000 €,tode 43 m²en Ríos Rosas - Nuevos Ministerios,43 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/184537933/d?from=list
Pisode 60 m²,356.000 €,"Paseo de la Castellana, Castilla",60 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-zona-comunitaria-ascensor-patio-amueblado-television/185118038/d?from=list
Pisode 39 m²,225.225 €,"Calle de María de Guzmán, Ríos Rosas - Nuevos Ministerios",39 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/trastero-patio-amueblado-television-internet/183206923/d?from=list
Pisode 61 m²,345.000 €,"Calle de Alfonso Rodríguez Santamaría, El Viso",61 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/184583058/d?from=list
Pisode 52 m²,350.000 €,Ciudad Jardín,52 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/184725055/d?from=list
Pisode 75 m²,389.000 €,Cuatro Caminos - Azca,75 m²,2 habs.,2 baños,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-patio/184436922/d?from=list
Pisode 45 m²,235.000 €,"Calle de Ávila, Cuatro Caminos - Azca",45 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/182005603/d?from=list
Pisode 60 m²,270.000 €,"Calle de Santa Engracia, Ríos Rosas - Nuevos Ministerios",60 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-patio-amueblado-television/177957587/d?from=list
Pisode 35 m²,230.000 €,"CRISTOBAL BORDIU, Ríos Rosas - Nuevos Ministerios",35 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/183241888/d?from=list
Pisode 70 m²,369.000 €,Castillejos - Cuzco,70 m²,2 habs.,1 baño,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-patio/183875031/d?from=list
